distance	shift	window_size_hrs	clust_metric	value	window_overlap_perc
CID	45	3	Calinkski-Harabasz	17167.9451973942	75
CID	45	3	entropy	1.0447525670749	75
CID	45	3	Dunn	1.47799093631679	75
CID	52	3.5	cluster	3	75
CID	52	3.5	totWSS	9572.21227586314	75
CID	52	3.5	totBSS/totSS	0.735296579370096	75
CID	52	3.5	silhouette	0.302422000057793	75
CID	52	3.5	Calinkski-Harabasz	13682.6171089016	75
CID	52	3.5	entropy	1.03598213177694	75
CID	52	3.5	Dunn	1.4622437228675	75
CID	56	1.25	cluster	3	25
CID	56	1.25	totWSS	10440.6913790619	25
CID	56	1.25	totBSS/totSS	0.811759177799434	25
CID	56	1.25	silhouette	0.338647618471678	25
CID	56	1.25	Calinkski-Harabasz	20350.4507137224	25
CID	56	1.25	entropy	1.06010861422622	25
CID	56	1.25	Dunn	1.62395626140998	25
CID	60	2	cluster	3	50
CID	60	2	totWSS	9109.70833518463	50
CID	60	2	totBSS/totSS	0.780835618144387	50
CID	60	2	silhouette	0.326101043433409	50
CID	60	2	Calinkski-Harabasz	15552.0569172698	50
CID	60	2	entropy	1.04551772159198	50
CID	60	2	Dunn	1.60209896347911	50
CID	60	4	cluster	3	75
CID	60	4	totWSS	7116.36367761251	75
CID	60	4	totBSS/totSS	0.714618493674828	75
CID	60	4	silhouette	0.29343236999717	75
CID	60	4	Calinkski-Harabasz	9379.53604564185	75
CID	60	4	entropy	1.02424522904469	75
CID	60	4	Dunn	1.44798891829596	75
CID	67	1.5	cluster	3	25
CID	67	1.5	totWSS	8529.58204489396	25
CID	67	1.5	totBSS/totSS	0.802008789992829	25
CID	67	1.5	silhouette	0.339192690239419	25
CID	67	1.5	Calinkski-Harabasz	16008.9814443765	25
CID	67	1.5	entropy	1.0480366294906	25
CID	67	1.5	Dunn	1.64069845392516	25
CID	75	2.5	cluster	3	50
CID	75	2.5	totWSS	7045.90936519756	50
CID	75	2.5	totBSS/totSS	0.764257148780796	50
CID	75	2.5	silhouette	0.316604836345691	50
CID	75	2.5	Calinkski-Harabasz	11186.7104549272	50
CID	75	2.5	entropy	1.04002262423916	50
CID	75	2.5	Dunn	1.56127709575795	50
CID	75	5	cluster	3	75
CID	75	5	totWSS	4060.83855311602	75
CID	75	5	totBSS/totSS	0.672278053334806	75
CID	75	5	silhouette	0.275141523577859	75
CID	75	5	Calinkski-Harabasz	4658.12856428029	75
CID	75	5	entropy	1.0319578933738	75
CID	75	5	Dunn	1.39788166653285	75
CID	82	5.5	cluster	3	75
CID	82	5.5	totWSS	3043.15737718362	75
CID	82	5.5	totBSS/totSS	0.651628374950595	75
CID	82	5.5	silhouette	0.270250623252586	75
CID	82	5.5	Calinkski-Harabasz	3254.23018169745	75
CID	82	5.5	entropy	1.02214420427926	75
CID	82	5.5	Dunn	1.39251686734987	75
CID	90	2	cluster	3	25
CID	90	2	totWSS	6190.39978977144	25
CID	90	2	totBSS/totSS	0.786421799613625	25
CID	90	2	silhouette	0.328786057776898	25
CID	90	2	Calinkski-Harabasz	10859.0881580837	25
CID	90	2	entropy	1.04687133247988	25
CID	90	2	Dunn	1.58120978781097	25
CID	90	3	cluster	3	50
CID	90	3	totWSS	5691.34867461643	50
CID	90	3	totBSS/totSS	0.747669597589914	50
CID	90	3	silhouette	0.308602235013155	50
CID	90	3	Calinkski-Harabasz	8563.73670638282	50
CID	90	3	entropy	1.04535027339683	50
CID	90	3	Dunn	1.4797678911921	50
CID	90	6	cluster	3	75
CID	90	6	totWSS	2419.35722719516	75
CID	90	6	totBSS/totSS	0.631938693097562	75
CID	90	6	silhouette	0.257570305211583	75
CID	90	6	Calinkski-Harabasz	2429.96726735935	75
CID	90	6	entropy	1.03136512756172	75
CID	90	6	Dunn	1.35225789227081	75
DTW	0	1.25	cluster	9	0
DTW	0	1.25	totWSS	512277.523213377	0
DTW	0	1.25	totBSS/totSS	0.885267655764426	0
DTW	0	1.25	silhouette	0.269978388578967	0
DTW	0	1.25	Calinkski-Harabasz	6764.10791567136	0
DTW	0	1.25	entropy	2.09962814280915	0
DTW	0	1.25	Dunn	0.363403442796829	0
DTW	0	1.5	cluster	9	0
DTW	0	1.5	totWSS	676695.327454297	0
DTW	0	1.5	totBSS/totSS	0.874156786354276	0
DTW	0	1.5	silhouette	0.252748020896699	0
DTW	0	1.5	Calinkski-Harabasz	5116.14425108293	0
DTW	0	1.5	entropy	2.10092904178271	0
DTW	0	1.5	Dunn	0.358153186199457	0
DTW	0	2.5	cluster	4	0
DTW	0	2.5	totWSS	2093895.42015467	0
DTW	0	2.5	totBSS/totSS	0.728745842837079	0
DTW	0	2.5	silhouette	0.315294080085876	0
DTW	0	2.5	Calinkski-Harabasz	3062.13729581529	0
DTW	0	2.5	entropy	1.32756865759947	0
DTW	0	2.5	Dunn	0.730552769118891	0
DTW	0	2	cluster	8	0
DTW	0	2	totWSS	1170603.17901031	0
DTW	0	2	totBSS/totSS	0.833150603643241	0
DTW	0	2	silhouette	0.22523982378091	0
DTW	0	2	Calinkski-Harabasz	3151.70850769851	0
DTW	0	2	entropy	1.9867062982807	0
